Region Name,Bus Name,Government Bus Link
South,Puducherry Road Transport Corporation (PRTC),https://www.redbus.in/online-booking/puducherry-road-transport-corporation-prtc
South,TNSTC,https://www.redbus.in/online-booking/tnstc
South,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala
South,APSRTC,https://www.redbus.in/online-booking/apsrtc
South,Kadamba Transport Corporation Limited (KTCL),https://www.redbus.in/online-booking/ktcl
South,TGSRTC,https://www.redbus.in/online-booking/tsrtc
North,RSRTC,https://www.redbus.in/online-booking/rsrtc
North,PEPSU (Punjab),https://www.redbus.in/online-booking/pepsu-punjab
North,Himachal Pradesh Tourism Development Corporation (HPTDC),https://www.redbus.in/online-booking/himachal-pradesh-tourism-development-corporation-hptdc
North,UPSRTC,https://www.redbus.in/online-booking/uttar-pradesh-state-road-transport-corporation-upsrtc
North,HRTC,https://www.redbus.in/online-booking/hrtc
North,PEPSU (Punjab),https://www.redbus.in/online-booking/pepsu
North,Chandigarh Transport Undertaking (CTU),https://www.redbus.in/online-booking/chandigarh-transport-undertaking-ctu
North,RSRTC,https://www.redbus.in/online-booking/rajasthan-state-road-transport-corporation
East,Bihar State Tourism Development Corporation (BSTDC),https://www.redbus.in/online-booking/bihar-state-tourism-development-corporation
East,Bihar State Road Transport Corporation (BSRTC),https://www.redbus.in/online-booking/bihar-state-road-transport-corporation-bsrtc
East,BSRTC Operated By VIP Travels,https://www.redbus.in/online-booking/bsrtc-operated-by-vip-travels
East,WBTC (CTC),https://www.redbus.in/online-booking/wbtc-ctc
East,West Bengal Transport Corporation,https://www.redbus.in/online-booking/west-bengal-transport-corporation
East,South Bengal State Transport Corporation (SBSTC),https://www.redbus.in/online-booking/south-bengal-state-transport-corporation-sbstc
NorthEast,Assam State Transport Corporation (ASTC),https://www.redbus.in/online-booking/astc
NorthEast,Sikkim Nationalised Transport (SNT),https://www.redbus.in/online-booking/sikkim-nationalised-transport-snt
NorthEast,Meghalaya Transport Corporation(MTC),https://www.redbus.in/online-booking/meghalaya-transport-corporation-mtc
NorthEast,KAAC TRANSPORT,https://www.redbus.in/online-booking/kaac-transport
NorthEast,Assam State Transport Corporation (ASTC),https://www.redbus.in/online-booking/assam-state-transport-corporation-astc
West,GSRTC,https://www.redbus.in/online-booking/gsrtc
